CAN;Alberta;Calgary;Ian Bazelgette Junior High School;HighSchool;;
CAN;Alberta;Calgary;Jack James High School;HighSchool;;
CAN;Alberta;Calgary;James Fowler High School;HighSchool;;
CAN;Alberta;Calgary;James Short Junior High School;HighSchool;;
CAN;Alberta;Calgary;John Ware Junior High School;HighSchool;;
CAN;Alberta;Calgary;John XXIII Junior High School;HighSchool;;
CAN;Alberta;Calgary;Kensington Road Junior High School;HighSchool;;
CAN;Alberta;Calgary;King Edward Junior High School;HighSchool;;
CAN;Alberta;Calgary;King George Junior High School;HighSchool;;
CAN;Alberta;Calgary;Langevin High School;HighSchool;;
CAN;Alberta;Calgary;Langevin Junior High School;HighSchool;;
CAN;Alberta;Calgary;Lesten High School;HighSchool;;
CAN;Alberta;Calgary;Lord Beaverbrook High School;HighSchool;;
CAN;Alberta;Calgary;Louis Riel Junior High School;HighSchool;;
CAN;Alberta;Calgary;Marlborough High School;HighSchool;;
CAN;Alberta;Calgary;Maryland High School;HighSchool;;
CAN;Alberta;Calgary;McDougall Junior High School;HighSchool;;
CAN;Alberta;Calgary;Melville Scott Junior High School;HighSchool;;
CAN;Alberta;Calgary;Mid-Sun Junior High School;HighSchool;;
CAN;Alberta;Calgary;Milton Williams Junior High School;HighSchool;;
CAN;Alberta;Calgary;Montgomery High School;HighSchool;;
CAN;Alberta;Calgary;Montgomery Junior High School;HighSchool;;
CAN;Alberta;Calgary;Mt. Royal High School;HighSchool;;
CAN;Alberta;Calgary;Mt. Royal Junior High School;HighSchool;;
CAN;Alberta;Calgary;Nickle Junior High School;HighSchool;;
CAN;Alberta;Calgary;Notre Dame High School;HighSchool;;
CAN;Alberta;Calgary;Osborne Junior High School;HighSchool;;
CAN;Alberta;Calgary;Our Lady of Peace Junior High School;HighSchool;;
CAN;Alberta;Calgary;Parkdale Junior High School;HighSchool;;
CAN;Alberta;Calgary;Pearson High School;HighSchool;;
CAN;Alberta;Calgary;Providence High School;HighSchool;;
CAN;Alberta;Calgary;Queen Elizabeth High School;HighSchool;;
CAN;Alberta;Calgary;Queen Elizabeth Junior High School;HighSchool;;
CAN;Alberta;Calgary;Red Deer Lake Junior High School;HighSchool;;
CAN;Alberta;Calgary;Rideau Park Junior High School;HighSchool;;
