Country;State/Province;City;University;College;Web Site;;
USA;California;Arcata;Humboldt State University ;;http://www.humboldt.edu/;;
USA;California;San Diego;San Diego State University ;;http://www.sdsu.edu/;;
USA;California;San Francisco;San Francisco State University;;http://www.sfsu.edu/;;
USA;California;San Jose;San Jose State University;;http://www.sjsu.edu/;;
USA;California;Rohnert Park;Sonoma State University;;http://www.sonoma.edu/;;
USA;California;Orange;Chapman University ;;http://www.chapman.edu/;;
USA;California;Los Angeles;Charles R. Drew University of Medicine z& Science;;http://www.cdrewu.edu/;;
USA;California;Berkeley;;Church Divinity School of Pacific ;http://www.cdsp.edu/;;
USA;California;Clatemont;;Clatemont Consortiym of College ;http://www.claremont.edu/;;
USA;California;Claremont;Claremont Graduate University;;http://www.cgu.edu/;;
USA;California;Claremont;;Claremont Mc Kenna College;http://www.cgu.edu/;;
USA;California;Claremont;;Harvey Mudd College;http://www.hmc.edu/;;
USA;California;Claremont;;Keck Graduate Institute of Applied Life Sciences;http://www.kgi.edu/;;
USA;California;Claremont;;Pitzer College;http://www.pitzer.edu/;;
USA;California;Claremont;;Pomona College ;http://www.pomona.edu/;;
USA;California;Claremont;;Scripps College ;http://www.scrippscollege.edu/;;
USA;California;Sunnyvale;;Cogswell Polytechnical College;http://www.cogswell.edu/;;
USA;California;Irvine;Concordia University-Irvine ;;http://www.cui.edu/;;
USA;California;Long Beach;DeVry University-Long Beach;;http://www.lb.devry.edu/;;
USA;California;Pomona;DeVry University-Pomona ;;http://www.pom.devry.edu/;;
USA;California;Berkeley;;Dominican School of Philosophy & Theology;http://www.dspt.edu/;;
USA;California;San Rafael;Dominican University of California;;http://www.dominican.edu/;;
USA;California;Santa Barbara;;Fielding Graduate Institute ;http://www.fielding.edu/;;
USA;California;Berkeley;;Franciscan School of Theology;http://www.fst.edu/;;
USA;California;Fresno;Fresno Pacific University;;http://www.fresno.edu/;;
USA;California;Pasadena;;Fuller Theological Seminary;http://www.fuller.edu/;;
USA;California;San Francisco;Golden Gate University;;http://www.ggu.edu/;;
USA;California;Berkeley;;Graduate theological Union;http://www.gtu.edu/;;
USA;California;Oakland;Holy Names University;;http://www.hnu.edu/;;
USA;California;Fullerton;Hope International University;;http://www.hiu.edu/;;
USA;California;Stockton;;humphreys College;http://www.humphreys.edu/;;
USA;California;Palo Alto;;Institute of Transpersonal Psychology;http://www.itp.edu/;;
USA;California;Berkeley;;Jesuit School of Theology at Berkley;http://www.jstb.edu/;;
;California;Orinda;John F. Kennedy University ;;http://www.jfku.edu/;;
USA;California;Riverside;La Sierra University;;http://www.lasierra.edu/;;
USA;California;San Dimas;;Life Pacific College;http://www.lifepacific.edu/;;
USA;California;Oakland;Lincoln University;;http://www.lincolnuca.edu/;;
USA;California;Loma Linda;Loma Linda University ;;http://www.llu.edu/;;
USA;California;Los Angeles;Loyola Marymount University;;http://www.lmu.edu/;;
USA;California;Rancho Palos Verdes;;Marymount College;http://www.marymountpv.edu/;;
USA;California;Santa Clarita;;The Master's College;http://www.masters.edu/;;
USA;California;;;The Master's Seminary;http://www.tms.edu/;;
USA;California;Atherton;;Menlo College;http://www.menlo.edu/;;
USA;California;Oakland;;Mills College ;http://www.mills.edu/;;
USA;California;Monterey;;Monterey Institute of International Studies;http://www.miis.edu/;;
USA;California;Los Angeles;;Mount Saint Mary's College ;http://www.msmc.la.edu/;;
USA;California;San Jose;National Hispanic University;;http://www.nhu.edu/;;
USA;California;San Diego;National University;;http://www.nu.edu/;;
USA;California;Monterey;;Naval Postgraduate School ;http://www.nps.navy.mil/;;
USA;California;Belmont;Notre Dame de Namur University;;http://www.ndnu.edu/;;
USA;California;Los Angeles;;Occidental College;http://www.oxy.edu/;;
USA;California;Los Angeles;;Otis College of Art & Design;http://www.otis.edu/;;
USA;California;Pasadena;;Pacific Oaks College ;http://www.pacificoaks.edu/;;
USA;California;Angwin;;Pacific Union College ;http://www.puc.edu/;;
USA;California;Carpinteria;;Pacifica Graduate Institute ;http://pacifica.edu/;;
USA;California;Santa Monica;;Pardee RAND  Graduate School;http://www.prgs.edu/;;
USA;California;Oakland;;Patten College;http://www.patten.edu/;;
USA;California;Oakland;;Pepperdine University;http://www.pepperdine.edu/;;
USA;California;San Diego;;Platt College;http://www.platt.edu/;;
USA;California;San Diego;;Point Loma Nazarene University ;http://www.pointloma.edu/;;
USA;California;Moraga;;Saint  Mary's College of California;http://www.stmarys-ca.edu/;;
USA;California;Oakland;;Samuel Merrit College ;http://www.samuelmerritt.edu/;;
USA;California;El Cajon;;San Diego Christian College ;http://www.sdcc.edu/;;
USA;California;Santa Clara;Santa Clara University ;;http://www.scu.edu/;;
USA;California;San Francisco;;Saybrook Graduete School & Research Center ;http://www.saybrook.edu/;;
USA;California;Redding;Simpson University ;;http://www.simpsonuniversity.edu/;;
USA;California;Aliso Viejo;Soka University of America ;;http://www.soka.edu/;;
USA;California;Los Angeles;;Southern California Institute of Architecture;http://www.sciarc.edu/;;
USA;California;Los Angeles;Southwestern University School of Law ;;http://www.swlaw.edu/;;
USA;California;Stanford;Stanford University;;http://www.stanford.edu/;;
USA;California;Santa Paula;;Thomas Aquinas College ;http://www.thomasaquinas.edu/;;
USA;California;Oakland;University of California System ;;http://www.ucop.edu/;;
USA;California;Oakland;University of California Berkeley ;;http://www.berkeley.edu/;;
USA;California;Davis;University of California Davis ;;http://www.ucdavis.edu/;;
USA;California;San Francisco;University of California Hastings College of the Law ;;http://www.uchastings.edu/;;
USA;California;Irvine;University of California Irvine;;http://www.uci.edu/;;
USA;California;Los Angeles;University of California Los Angeles ;;http://www.ucla.edu/;;
USA;California;Merced;University of California Merced ;;http://www.ucmerced.edu/;;
USA;California;Riverside;University of California Riverside;;http://www.ucr.edu/;;
USA;California;La Jolla;University of California San Diego;;http://www.ucsd.edu/;;
USA;California;San Francisco;University of California San Francisco;;http://www.ucsf.edu/;;
USA;California;Santa Barbara;University of California Santa Barbara;;http://www.ucsb.edu/;;
USA;California;Santa Cruz;University of California Santa Cruz;;http://www.ucsc.edu/;;
USA;California;Los Angeles;American Jewish University ;;http://www.ajula.edu/;;
USA;California;La Verne;University of La Verne ;;http://www.ulv.edu/;;
USA;California;Santa Rosa;University of Nothern California;;http://www.uncm.edu/;;
USA;California;Stockton;University of the Pacific;;http://www.pacific.edu/;;
USA;California;Redlands;University of Redlands;;http://www.redlands.edu/;;
USA;California;San Diego;University of San Diego;;http://www.sandiego.edu/;;
USA;California;San Francisco;University of San Francisco;;http://www.usfca.edu/;;
USA;California;Costa Mesa;University of Southern California ;;http://www.usc.edu/;;
USA;California;Costa Mesa;Vanguard University of Southern California ;;http://www.vanguard.edu/;;
USA;California;Fullerton;Western State University College of Law ;;http://www.wsulaw.edu/;;
USA;California;Pomona;Western University of Health Sciences;;http://www.westernu.edu/;;
USA;California;Escondido;;Westminster Seminary California ;http://www.wscal.edu/;;
USA;California;Montecito;;Westmont College;http://www.westmont.edu/;;
USA;California;Whittier;;Whittier College;http://www.whittier.edu/;;
USA;California;Santa Ana;William Howard Taft University;;http://www.taftu.edu/;;
USA;California;Rocklin;William Jessup University ;;http://www.jessup.edu/;;
USA;California;Burbank;Woodbury University ;;http://www.woodbury.edu/;;
USA;Colorado;Alamosa;;Adams State College ;http://www.adams.edu/;;
USA;Colorado;Denver;;Art Institute of Colorado;http://www.artinstitutes.edu/denver/;;
USA;Colorado;Greenwood Vlg;;College for Financial Planning ;http://www.cffp.edu/;;
USA;Colorado;Lakewood;Colorado Christian University ;;http://www.ccu.edu/;;
USA;Colorado;Colorado Springs;;Colorado College ;http://www.coloradocollege.edu/;;
USA;Colorado;Golden;;Colorado School of Mines;http://www.mines.edu/;;
USA;Colorado;Fort Collins;Colorado State University ;;http://www.colostate.edu/;;
USA;Colorado;Pueblo;Colorado State University - Pueblo;;http://www.colostate-pueblo.edu/;;
USA;Colorado;Colorado Springs;Colorado Technical University;;http://www.coloradotech.edu/;;
USA;Colorado;Littleton;;Denver Seminary;http://www.denverseminary.edu/;;
USA;Colorado;Durango;;Fort Lewis College;http://www.fortlewis.edu/;;
USA;Colorado;Denver;;Iliff School of Theology;http://www.iliff.edu/;;
USA;Colorado;Centennial;Jones Intenational University ;;http://www.jonesinternational.edu/;;
USA;Colorado;Grand Junction;;Mesa State College;http://www.mesastate.edu/;;
USA;Colorado;Denver;;Metropolitan State College of Denver;http://www.mscd.edu/;;
USA;Colorado;Boulder;Naropa University;;http://www.naropa.edu/;;
USA;Colorado;Denver;;National Theatre Conservatory;http://www.denvercenter.org/page.cfm?xid=23842027/;;
USA;Colorado;Colorado Springs;;Nazarene Bible College ;http://www.nbc.edu/;;
USA;Colorado;Denver;Regis University ;;http://www.regis.edu/;;
USA;Colorado;Lakewood;;Rocky Mountain College of Art & Design ;http://www.rmcad.edu/;;
USA;Colorado;;;United States Air Force Academy;http://www.usafa.edu/;;
USA;Colorado;Denver;University of Colorado System;;http://www.cu.edu/;;
USA;Colorado;Boulder;University of Colorado at Boulder ;;http://www.colorado.edu/;;
USA;Colorado;Colorado Springs;University of Colorado at Colorado Springs ;;http://www.uccs.edu/;;
USA;Colorado;Denver;University of Colorado at Denver;;http://www.cudenver.edu/;;
USA;Colorado;Denver;University of Colorado Denver Health Sciences Center;;http://www.uchsc.edu/;;
USA;Colorado;Denver;University of Denver;;http://www.du.edu/;;
USA;Colorado;Greeley;University of Nothern Colorado;;http://www.unco.edu/;;
USA;Colorado;Colorado Springs;University of the Rockies ;;http://www.rockies.edu/;;
USA;Colorado;Gunnison;;Western State College of Colorado;http://www.western.edu/;;
USA;Connecticut;New Haven;;Albertus Magnus College;;;Albertus Magnus College
USA;Connecticut;New Britain;Central Connecticut State University;;;;Central Connecticut State University
USA;Connecticut;Waterbury;;Charter Oak State College ;;;Charter Oak State College
USA;Connecticut;New London;;Connecticut College;;;Connecticut College
USA;Connecticut;Willimantic ??????;Eastern Connecticut State University ;;;;Eastern Connecticut State University
USA;Connecticut;Fairfield;Fairfield University ;;;;Fairfield University
USA;Connecticut;Hartford;;Hartford Seminary ;;;Hartford Seminary
USA;Connecticut;Cromwell;;Holy Apostles College & Seminary ;;;Holy Apostles College & Seminary
USA;Connecticut;Hamburg;;Lyme Academy College of Fine Arts ;;;Lyme Academy College of Fine Arts
USA;Connecticut;New London;;Mitchell College;;;Mitchell College
USA;Connecticut;Waterbury;Post University ;;;;Post University
USA;Connecticut;Hamden;Quinnipiac University;;;;Quinnipiac University
USA;Connecticut;Fairfield;Sacred Heart University ;;;;Sacred Heart University
USA;Connecticut;West Hartford;;Saint Joseph College;;;Saint Joseph College
USA;Connecticut;NewHaven;Suothern Connecticut State University;;;;Southern Connecticut State University
USA;Connecticut;Hartford;;Trinity College;;;Trinity College
USA;Connecticut;New London;;United States Coast Guard Academy;;;United States Coast Guard Academy
USA;Connecticut;Bridgeport;University of Bridgeport ;;;;University of Bridgeport
USA;Connecticut;Storrs;University of Connecticut ;;;;University of Connecticut
USA;Connecticut;West Hartford;University of Hartford;;;;University of Hartford
USA;Connecticut;West Haven;University of New Haven;;;;University of New Haven
USA;Connecticut;Middletown;Wesleyan University;;;;Wesleyan University
USA;Connecticut;Danbury;Western Connecticut State University ;;;;Western Connecticut State University
USA;Connecticut;New Haven;Yale University;;;;Yale University
USA;Delaware;Dover;Delaware State University;;;;Delaware State University
USA;Delaware;Wilmington;;Goldey-Beacom College;;;Goldey-Beacom College
USA;Delaware;Newark;University of Delaware ;;;;University of Delaware
USA;Delaware;Dover;;Wesley College;;;Wesley College
USA;Delaware;New Castle;Wilmington University;;;;Wilmington University
USA;District of Columbia ;Washington;American University ;;;;American University
USA;District of Columbia ;Washington;The Catholic University of America ;;;;The Catholic University of America
USA;District of Columbia ;Washington;;Corcoran College of Art & Design ;;;Corcoran College of Art & Design
USA;District of Columbia ;Washington;;Dominican House of Studies;;;Dominican House of Studies
USA;District of Columbia ;Washington;Gallaudet University;;;;Gallaudet University
USA;District of Columbia ;Washington;George Washington University ;;;;George Washington University
USA;District of Columbia ;Washington;Georgetown University;;;;Georgetown University
USA;District of Columbia ;Washington;Howard University;;;;Howard University
USA;District of Columbia ;Washington;;Institute of World Politics;;;Institute of World Politics
USA;District of Columbia ;Washington;;Joint Military Intelligence College;;;Joint Military Intelligence College
USA;District of Columbia ;Washington;National Defense University ;;;;National Defense University
USA;District of Columbia ;Washington;Southeastern University ;;;;Southeastern University
USA;District of Columbia ;Washington;Strayer University ;;;;Strayer University
USA;District of Columbia ;Washington;Trinity University ;;;;Trinity University
USA;District of Columbia ;Washington;University of the District of Columbia ;;;;University of the District of Columbia
USA;District of Columbia ;Washington;;Washington Theological Union;;;Washington Theological Union
USA;District of Columbia ;Washington;;Wesley theological Seminary ;;;Wesley Theological Seminary
USA;Florida;Graceville;;The Baptist College of Florida;;;The Baptist College of Florida
USA;Florida;Miami;Barry University ;;;;Barry University
USA;Florida;Leesburg;;Beacon College;;;Beacon College
USA;Florida;Daytona Beach;;Bethune-Cookman College;;;Bethune-Cookman College
USA;Florida;Doral;Carlos Albizu University-Miami;;;;Carlos Albizu University-Miami
USA;Florida;Marianna;;Chipola College;;;Chipola College
USA;Florida;Clearwater;;Clearwater Christian College;;;Clearwater Christian College
USA;Florida;Daytona Beach;;Daytona State College;;;Daytona State College
USA;Florida;Orlando;Devry University-Orlando;;;;DeVry University-Orlando
USA;Florida;St Petersburg;;Eckerd College;;;Eckerd College
USA;Florida;Fort Myers;;Edison State College;;;Edison State College
USA;Florida;Jacksonville;;Edward Waters College ;;;Edward Waters College
USA;Florida;Daytona Beach;Embry-Riddle Aeronautical University;;;;Embry-Riddle Aeronautical University
USA;Florida;St Augustine;;Flagler College;;;Flagler College
USA;Florida;Tampa;Florida Agricultual & Mechanical University ;;;;Florida Agricultural & Mechanical University
USA;Florida;Boca Raton;Florida Atlantic University ;;;;Florida Atlantic University
USA;Florida;Kissimmee;;Florida Christian College;;;Florida Christian College
USA;Florida;Temple Terrace;;Florida College;;;Florida College
USA;Florida;Punta Gorda;Florida Gulf Coast University ;;;;Florida Gulf Coast University
USA;Florida;Orlando;;Florida Hospital College of Health Sciences;;;Florida Hospital College of Health Sciences
USA;Florida;Melbourne;;Florida Institute of Technology ;;;Florida Institute of Technology
USA;Florida;Miami;Florida International University ;;;;Florida International University
USA;Florida;Miami;Florida Memorial University ;;;;Florida Memorial University
USA;Florida;?????????????//;Florida Metropolitan University ;;;;Florida Metropolitan University
USA;Florida;Orlando;;Florida Southern College;;;Florida Southern College
USA;Florida;Tallahassee;Florida State University ;;;;Florida State University
USA;Florida;Panama;Florida State University Panama City Campus ;;;;Panama City campus
USA;Florida;Hobe Sound;;Hobe Sound Bible College ;;;Hobe Sound Bible College
USA;Florida;Naples;Hodges University ;;;;Hodges University
USA;Florida;Jacksonville;Jacksonville University ;;;;Jacksonville University
USA;Florida;Miami;;Jones College;;;Jones College
USA;Florida;Daytona Beach;Keiser University ;;;;Keiser University
USA;Florida;Boca Raton;Lynn University ;;;;Lynn University
USA;Florida;Miami;Miami International University of Art & Design ;;;;Miami International University of Art & Design
USA;Florida;Sarasota;;New College of Florida;;;New College of Florida
USA;Florida;West Palm Beach;Northwood University ;;;;Northwood University
USA;Florida;Davie;Nova Southeastern University ;;;;Nova Southeastern University
USA;Florida;West Palm Beach;Palm Beach Atlantic University ;;;;Palm Beach Atlantic University
USA;Florida;Sarasota;;Ringling School of Art & Design ;;;Ringling School of Art & Design
USA;Florida;Winter Park;;Rollins College ;;;Rollins College
USA;Florida;Miami;;Sain John Vianney College Seminary ;;;Saint John Vianney College Seminary
USA;Florida;St Leo;;Saint Leo College ;;;Saint Leo College
USA;Florida;Seminole;;Saint Petersburg College ;;;Saint Petersburg College
USA;Florida;Opa Locka;Saint Thomas University ;;;;Saint Thomas University
USA;Florida;Boynton Beach;;Saint Vincent de Paul Regional Seminary ;;;Saint Vincent de Paul Regional Seminary
USA;Florida;Deerfield Beach;;South Florida Bible College & Theological Seminary ;;;South Florida Bible College & Theological Seminary
USA;Florida;Lakeland;Southeastern University ;;;;Southeastern University
USA;Florida;Deland;Stetson University ;;;;Stetson University
USA;Florida;Trinity;;Trinity College of Florida;;;Trinity College of Florida
USA;Florida;Hurlburt Field;Troy State University-Florida Region ;;;;Troy State University-Florida Region
USA;Florida;Orlando;University of Central Florida ;;;;University of Central Florida
USA;Florida;Gainesville;University of Florida ;;;;University of Florida
USA;Florida;Coral Gables;niversity of Maimi;;;;University of Miami
USA;Florida;Jacksonville;University of North Florida ;;;;University of North Florida
USA;Florida;Tampa;University of South Florida ;;;;University of South Florida
USA;Florida;Petersburg;University of South Florida-Saint Petersburg;;;;University of South Florida-Saint Petersburg
USA;Florida;Tampa;University of Tampa ;;;;University of Tampa
USA;Florida;Pensacola;University of West florida ;;;;University of West Florida
USA;Florida;Lake Wales;;Warner Southern College;;;Warner Southern College
USA;Florida;Babson Park;Webber International University ;;;;Webber International University
USA;Hawaii;Laie;Brigham Young University -Hawaii;;;;Brigham Young University-Hawaii
USA;Hawaii;Honolulu;Chaminade University ;;;;Chaminade University
USA;Hawaii;Honolulu;Hawaii Pacific University ;;;;Hawaii Pacific University
USA;Hawaii;Honolulu;University of Hawaii System;;;;University of Hawaii System
USA;Hawaii;Hilo;University of Hawaii Hilo ;;;;Hilo
USA;Hawaii;Honolulu;University of Hawaii Manoa ;;;;Manoa
USA;Hawaii;Pearl ;University of Hawaii West Oahu ;;;;West Oahu
USA;Idaho;Boise;Boise State University ;;;;Boise State University
USA;Idaho;Rexburg;Brigham Young University -Idaho;;;;Brigham Young University-Idaho
USA;Idaho;Caldwell;;The College of Idaho;;;The College of Idaho
USA;Idaho;Pocatello;Idaho State University ;;;;Idaho State University
USA;Idaho;Lewiston;;Lewis-Clark State College ;;;Lewis-Clark State College
USA;Idaho;Nampa;Northwest Nazarene University ;;;;Northwest Nazarene University
USA;Idaho;Moscow;University of Idaho ;;;;University of Idaho
USA;Illinois;Chicago;;Adler School of Professional Physhology ;;;Adler School of Professional Psychology
USA;Illinois;Chicago;;American College of Education ;;;American College of Education
USA;Illinois;Schaumburg;Argosy University ;;;;Argosy University
USA;Illinois;Rock Island;;Augustana College;;;Augustana College
USA;Illinois;Aurora;Aurora University ;;;;Aurora University
USA;Illinois;Lisle;Benedictine University ;;;;Benedictine University
USA;Illinois;Carlinville;;Blackburn College ;;;Blackburn College
USA;Illinois;Quincy;;Blessing-Reiman College of Nursing ;;;Blessing-Rieman College of Nursing
USA;Illinois;Peoria;Bradley University ;;;;Bradley University
USA;Illinois;Chicago;;Catholic Theological Union ;;;Catholic Theological Union
USA;Illinois;Chicago;;The Chicago Schoolof Professional Phychology ;;;The Chicago School of Professional Psychology
USA;Illinois;Chicago;Chicago State University ;;;;Chicago State University
USA;Illinois;Chicago;;Chicago Theological Seminary;;;Chicago Theological Seminary
USA;Illinois;Chicago;;Columbia College Chicago ;;;Columbia College Chicago
USA;Illinois;River Forest;Concordia University-Chicago;;;;Concordia University-Chicago
USA;Illinois;Chicago;Depaul University ;;;;DePaul University
USA;Illinois;Chicago;DeVry University ;;;;DeVry University
USA;Illinois;????????????;DeVry University-Chicago ;;;;DeVry University-Chicago
USA;Illinois;Addison;DeVry University-DuPage ;;;;DeVry University-DuPage
USA;Illinois;River Forest;Dominican University ;;;;Dominican University
USA;Illinois;Chicago;East-West University ;;;;East-West University
